customer_id,registration_date,customer_segment,acquisition_channel,total_orders,total_spent,last_order_date
C000186,2023-06-28,Returning,Email Marketing,8.0,5183.91,2024-07-21
C000187,2025-08-18,Returning,Social Media,0.0,0.0,
C000188,2025-03-28,New,Referral,0.0,0.0,
C000189,2025-07-17,Returning,Organic Search,0.0,0.0,
C000190,2025-07-04,New,Email Marketing,0.0,0.0,
C000191,2025-06-24,New,Organic Search,0.0,0.0,
C000192,2024-08-10,Returning,Referral,1.0,508.98,2023-08-11
C000193,2025-02-02,Returning,Direct,0.0,0.0,
C000194,2024-11-10,Returning,Organic Search,0.0,0.0,
C000195,2024-11-29,New,Referral,0.0,0.0,
C000196,2025-04-17,Returning,Paid Search,0.0,0.0,
C000197,2025-06-18,Returning,Direct,0.0,0.0,
C000198,2024-10-24,New,Direct,0.0,0.0,
C000199,2025-06-27,New,Email Marketing,0.0,0.0,
C000200,2023-11-04,New,Direct,5.0,2231.83,2024-05-17
C000201,2025-07-21,VIP,Social Media,0.0,0.0,
C000202,2024-12-31,Returning,Email Marketing,2.0,961.23,2024-09-03
C000203,2023-01-02,VIP,Email Marketing,20.0,12754.74,2025-06-16
C000204,2023-01-02,VIP,Direct,30.0,17418.61,2025-09-25
C000205,2023-01-02,Returning,Direct,29.0,23540.19,2025-08-15
C000206,2024-08-21,VIP,Social Media,3.0,1358.18,2024-06-30
C000207,2024-11-23,New,Email Marketing,1.0,757.3,2025-08-04
C000208,2025-07-07,VIP,Email Marketing,0.0,0.0,
C000209,2025-03-10,Returning,Organic Search,0.0,0.0,
C000210,2024-12-27,Returning,Direct,0.0,0.0,
C000211,2025-05-27,Returning,Social Media,0.0,0.0,
C000212,2023-01-21,New,Social Media,17.0,15419.67,2025-06-13
C000213,2025-09-09,New,Paid Search,0.0,0.0,
C000214,2024-12-12,Returning,Paid Search,2.0,1264.96,2025-04-09
C000215,2025-05-09,Returning,Organic Search,0.0,0.0,
C000216,2025-08-05,New,Organic Search,0.0,0.0,
C000217,2024-11-02,Returning,Social Media,0.0,0.0,
C000218,2025-04-25,VIP,Direct,1.0,424.2,2022-09-22
C000219,2024-05-16,Returning,Referral,2.0,1733.63,2024-07-31
C000220,2024-06-06,VIP,Email Marketing,0.0,0.0,
C000221,2025-04-07,VIP,Direct,1.0,398.69,2024-08-05
C000222,2025-09-11,Returning,Social Media,0.0,0.0,
C000223,2024-02-28,New,Direct,2.0,398.02,2025-05-04
C000224,2024-01-01,New,Social Media,3.0,720.2,2025-08-25
C000225,2024-08-25,Returning,Email Marketing,1.0,1318.35,2022-10-14
C000226,2025-05-13,Returning,Paid Search,0.0,0.0,
C000227,2024-01-18,Returning,Direct,4.0,2037.74,2025-06-28
C000228,2023-06-12,Returning,Organic Search,10.0,12571.64,2024-11-15
C000229,2024-05-14,Returning,Organic Search,0.0,0.0,
C000230,2025-04-21,New,Paid Search,0.0,0.0,
C000231,2024-12-16,VIP,Social Media,0.0,0.0,
C000232,2024-12-17,Returning,Social Media,0.0,0.0,
C000233,2024-10-03,New,Email Marketing,0.0,0.0,
C000234,2024-03-01,Returning,Email Marketing,2.0,336.63,2022-11-19
C000235,2024-05-23,Returning,Referral,1.0,547.45,2023-10-08
C000236,2025-07-30,New,Referral,0.0,0.0,
C000237,2024-03-27,New,Email Marketing,1.0,848.28,2022-12-27
C000238,2024-11-25,Returning,Social Media,0.0,0.0,
C000239,2024-05-04,New,Referral,1.0,113.93,2022-05-22
C000240,2025-08-17,Returning,Email Marketing,0.0,0.0,
C000241,2025-03-28,Returning,Referral,1.0,1864.1,2025-06-29
C000242,2025-01-28,Returning,Referral,0.0,0.0,
C000243,2024-06-21,Returning,Social Media,4.0,4476.73,2024-04-16
C000244,2024-11-28,Returning,Social Media,0.0,0.0,
C000245,2025-04-27,New,Paid Search,0.0,0.0,
C000246,2025-04-28,New,Paid Search,0.0,0.0,
C000247,2023-01-02,New,Referral,30.0,16425.64,2025-08-20
C000248,2025-08-05,New,Organic Search,0.0,0.0,
C000249,2025-09-22,VIP,Email Marketing,0.0,0.0,
C000250,2025-08-20,VIP,Referral,0.0,0.0,
C000251,2023-03-10,Returning,Paid Search,17.0,13898.25,2025-04-14
C000252,2024-04-08,New,Organic Search,4.0,1034.75,2025-08-15
C000253,2025-03-11,Returning,Organic Search,0.0,0.0,
C000254,2023-02-23,Returning,Direct,20.0,5733.8,2025-04-30
C000255,2025-06-22,New,Email Marketing,0.0,0.0,
C000256,2025-08-11,VIP,Direct,0.0,0.0,
C000257,2025-01-04,Returning,Referral,0.0,0.0,
C000258,2025-04-07,Returning,Paid Search,0.0,0.0,
C000259,2024-02-14,New,Organic Search,1.0,1886.76,2022-12-07
C000260,2025-08-15,Returning,Paid Search,0.0,0.0,
C000261,2023-03-22,New,Paid Search,19.0,8003.85,2025-04-07
C000262,2025-02-01,VIP,Social Media,2.0,1730.35,2025-04-21
C000263,2025-09-16,VIP,Direct,0.0,0.0,
C000264,2025-07-20,Returning,Direct,0.0,0.0,
C000265,2025-09-16,New,Referral,0.0,0.0,
C000266,2024-11-15,Returning,Email Marketing,2.0,270.43,2024-09-19
C000267,2025-07-03,Returning,Organic Search,0.0,0.0,
C000268,2023-01-02,New,Direct,39.0,21540.6,2025-09-20
C000269,2023-10-10,Returning,Organic Search,3.0,1632.61,2024-01-25
C000270,2025-05-22,New,Direct,0.0,0.0,
C000271,2024-05-11,New,Social Media,1.0,96.38,2025-07-19
C000272,2025-04-25,Returning,Organic Search,0.0,0.0,
C000273,2025-09-15,Returning,Social Media,0.0,0.0,
C000274,2025-09-04,Returning,Paid Search,0.0,0.0,
C000275,2024-12-31,Returning,Paid Search,2.0,535.16,2022-12-26
C000276,2025-01-21,Returning,Email Marketing,0.0,0.0,
C000277,2025-07-17,VIP,Social Media,0.0,0.0,
C000278,2025-04-11,New,Direct,0.0,0.0,
C000279,2024-12-30,Returning,Email Marketing,0.0,0.0,
C000280,2023-11-30,VIP,Organic Search,4.0,5520.21,2024-11-02
C000281,2024-12-10,New,Social Media,0.0,0.0,
C000282,2025-01-14,Returning,Organic Search,0.0,0.0,
C000283,2024-02-19,New,Organic Search,2.0,1405.86,2022-08-30
C000284,2024-12-06,Returning,Social Media,0.0,0.0,
C000285,2025-06-19,Returning,Direct,0.0,0.0,
C000286,2023-12-21,New,Referral,1.0,2714.8,2024-12-03
C000287,2025-08-04,Returning,Paid Search,1.0,1223.33,2023-11-21
C000288,2025-09-24,New,Referral,0.0,0.0,
C000289,2025-09-19,New,Email Marketing,0.0,0.0,
C000290,2024-09-18,Returning,Organic Search,0.0,0.0,
C000291,2024-01-17,New,Paid Search,2.0,442.84,2023-06-29
C000292,2024-01-01,New,Email Marketing,5.0,3681.34,2025-02-23
C000293,2023-12-20,New,Direct,4.0,2007.52,2023-10-10
C000294,2025-04-17,VIP,Social Media,0.0,0.0,
C000295,2023-01-02,Returning,Organic Search,37.0,27669.83,2025-05-08
C000296,2023-09-19,Returning,Direct,5.0,8690.44,2025-05-13
C000297,2025-02-08,New,Paid Search,2.0,777.21,2025-07-18
C000298,2025-09-20,New,Paid Search,0.0,0.0,
C000299,2024-09-27,New,Direct,1.0,169.99,2024-05-22
C000300,2024-09-15,Returning,Paid Search,2.0,1638.25,2024-08-01
C000301,2024-12-30,New,Referral,1.0,140.58,2025-07-18
C000302,2025-09-22,VIP,Referral,0.0,0.0,
C000303,2024-01-21,Returning,Paid Search,5.0,3506.83,2025-06-30
C000304,2024-12-08,Returning,Paid Search,0.0,0.0,
C000305,2024-06-21,New,Direct,3.0,3031.59,2025-07-25
C000306,2025-08-06,VIP,Direct,0.0,0.0,
C000307,2024-06-05,New,Referral,0.0,0.0,
C000308,2024-08-25,New,Referral,2.0,522.9,2025-09-09
C000309,2023-12-04,Returning,Direct,7.0,6222.44,2025-09-19
C000310,2025-01-04,New,Email Marketing,0.0,0.0,
C000311,2023-01-02,New,Referral,32.0,20645.19,2025-09-20
C000312,2024-10-26,New,Referral,0.0,0.0,
C000313,2023-12-06,Returning,Email Marketing,4.0,2749.98,2024-11-14
C000314,2024-06-22,New,Social Media,0.0,0.0,
C000315,2023-01-02,New,Direct,20.0,15582.29,2025-05-28
C000316,2025-08-07,Returning,Paid Search,0.0,0.0,
C000317,2025-09-17,New,Social Media,0.0,0.0,
C000318,2023-11-26,Returning,Social Media,5.0,2107.5,2024-12-09
C000319,2024-11-01,New,Paid Search,2.0,1449.05,2024-12-29
C000320,2025-02-06,New,Organic Search,0.0,0.0,
C000321,2025-03-18,Returning,Paid Search,0.0,0.0,
C000322,2025-02-16,New,Paid Search,0.0,0.0,
C000323,2024-02-20,Returning,Direct,2.0,556.37,2024-01-17
C000324,2025-09-27,New,Referral,0.0,0.0,
C000325,2025-08-24,VIP,Referral,0.0,0.0,
C000326,2024-03-08,Returning,Organic Search,3.0,2457.43,2023-12-10
C000327,2025-07-16,Returning,Social Media,0.0,0.0,
C000328,2024-06-05,Returning,Referral,2.0,3244.16,2023-05-18
C000329,2024-07-25,Returning,Organic Search,3.0,5533.63,2025-05-21
C000330,2023-05-30,Returning,Social Media,11.0,8907.06,2025-09-09
C000331,2023-01-02,VIP,Paid Search,21.0,14278.67,2025-08-31
C000332,2024-11-09,VIP,Paid Search,0.0,0.0,
C000333,2024-11-26,VIP,Direct,0.0,0.0,
C000334,2025-08-13,Returning,Social Media,0.0,0.0,
C000335,2023-03-01,VIP,Referral,24.0,16325.04,2025-08-18
C000336,2025-02-06,VIP,Social Media,0.0,0.0,
C000337,2025-05-11,Returning,Organic Search,0.0,0.0,
C000338,2024-09-10,New,Email Marketing,0.0,0.0,
C000339,2025-08-13,New,Referral,0.0,0.0,
C000340,2024-12-27,Returning,Email Marketing,2.0,3636.1,2022-09-16
C000341,2024-11-22,Returning,Email Marketing,1.0,249.11,2025-01-08
C000342,2024-03-07,New,Paid Search,6.0,2391.5,2024-09-25
C000343,2025-01-03,Returning,Email Marketing,0.0,0.0,
C000344,2025-06-24,New,Paid Search,0.0,0.0,
C000345,2023-01-02,New,Referral,29.0,21679.0,2025-08-01
C000346,2024-12-28,VIP,Social Media,1.0,285.61,2023-04-17
C000347,2025-09-02,New,Referral,0.0,0.0,
C000348,2024-04-15,Returning,Referral,3.0,3622.09,2025-09-14
C000349,2025-02-02,Returning,Email Marketing,0.0,0.0,
C000350,2023-01-02,Returning,Organic Search,21.0,11864.92,2025-09-10
C000351,2025-05-02,Returning,Organic Search,1.0,230.42,2023-09-10
C000352,2025-06-21,New,Direct,0.0,0.0,
C000353,2025-05-23,VIP,Paid Search,1.0,1121.51,2022-10-09
C000354,2025-06-23,New,Organic Search,0.0,0.0,
C000355,2023-05-02,New,Organic Search,11.0,4095.15,2025-08-27
C000356,2025-03-31,New,Social Media,0.0,0.0,
C000357,2023-01-02,Returning,Social Media,21.0,20617.07,2025-08-27
C000358,2024-11-08,VIP,Direct,0.0,0.0,
C000359,2024-10-28,VIP,Paid Search,0.0,0.0,
C000360,2025-07-24,VIP,Social Media,0.0,0.0,
C000361,2025-03-25,Returning,Direct,0.0,0.0,
C000362,2024-10-22,Returning,Paid Search,1.0,1549.91,2025-09-27
C000363,2025-09-11,New,Organic Search,0.0,0.0,
C000364,2025-07-15,Returning,Direct,1.0,2549.36,2024-08-21
C000365,2024-02-18,Returning,Organic Search,1.0,387.73,2025-02-10
C000366,2025-01-05,Returning,Organic Search,1.0,414.78,2022-07-30
C000367,2025-07-21,New,Paid Search,0.0,0.0,
C000368,2025-01-25,VIP,Social Media,0.0,0.0,
C000369,2024-01-20,New,Referral,8.0,7130.95,2025-07-01
C000370,2024-12-21,Returning,Direct,0.0,0.0,
C000371,2023-10-12,Returning,Social Media,4.0,2822.92,2025-02-21
C000372,2025-06-04,Returning,Social Media,0.0,0.0,
C000373,2023-01-02,VIP,Organic Search,21.0,13210.19,2025-04-08
C000374,2025-05-06,VIP,Social Media,0.0,0.0,
C000375,2025-08-26,Returning,Direct,1.0,1476.74,2023-06-14
C000376,2025-06-11,Returning,Paid Search,0.0,0.0,
C000377,2024-12-25,VIP,Referral,0.0,0.0,
C000378,2023-07-01,VIP,Paid Search,9.0,9638.26,2025-05-18
C000379,2025-01-22,Returning,Referral,0.0,0.0,
C000380,2023-05-17,Returning,Paid Search,12.0,13795.77,2025-07-02
C000381,2024-12-16,VIP,Organic Search,0.0,0.0,
C000382,2023-08-21,Returning,Email Marketing,10.0,8749.4,2025-09-09
C000383,2023-11-05,VIP,Organic Search,8.0,6395.8,2024-12-15
C000384,2025-05-03,New,Referral,0.0,0.0,
C000385,2024-08-08,Returning,Direct,3.0,468.86,2024-10-31
C000386,2025-07-14,VIP,Referral,0.0,0.0,
C000387,2023-09-10,New,Paid Search,4.0,5664.38,2025-04-08
C000388,2025-08-09,New,Direct,0.0,0.0,
C000389,2023-05-09,New,Paid Search,7.0,2039.86,2025-06-19
C000390,2023-12-17,Returning,Paid Search,1.0,1372.79,2025-05-07
C000391,2025-05-28,Returning,Organic Search,0.0,0.0,
C000392,2024-12-03,New,Paid Search,0.0,0.0,
C000393,2024-09-27,Returning,Social Media,1.0,285.59,2022-02-19
C000394,2025-08-09,New,Paid Search,0.0,0.0,
C000395,2025-03-06,Returning,Email Marketing,0.0,0.0,
C000396,2024-09-28,VIP,Referral,0.0,0.0,
C000397,2024-03-10,New,Email Marketing,4.0,1769.21,2025-01-01
C000398,2025-09-03,New,Organic Search,0.0,0.0,
C000399,2024-04-09,Returning,Direct,1.0,901.93,2023-09-16
C000400,2025-04-27,Returning,Social Media,2.0,2242.56,2025-03-22
C000401,2023-10-31,VIP,Referral,8.0,11226.4,2025-04-10
C000402,2025-02-25,Returning,Email Marketing,0.0,0.0,
C000403,2024-04-28,New,Social Media,2.0,1061.64,2023-06-27
C000404,2024-01-09,New,Social Media,3.0,2283.28,2024-07-25
C000405,2025-06-14,New,Paid Search,0.0,0.0,
C000406,2025-06-04,VIP,Organic Search,0.0,0.0,
C000407,2025-08-20,VIP,Referral,0.0,0.0,
C000408,2024-07-24,New,Paid Search,0.0,0.0,
C000409,2024-04-06,New,Social Media,2.0,1313.96,2025-03-22
C000410,2025-06-04,VIP,Email Marketing,0.0,0.0,
C000411,2025-09-17,Returning,Referral,0.0,0.0,
C000412,2024-09-22,New,Organic Search,0.0,0.0,
C000413,2025-02-27,New,Paid Search,1.0,651.56,2023-08-16
C000414,2023-07-02,New,Referral,5.0,1601.69,2024-02-26
C000415,2025-07-09,VIP,Email Marketing,0.0,0.0,
C000416,2024-12-01,Returning,Social Media,2.0,1700.33,2024-01-22
C000417,2023-01-02,New,Organic Search,26.0,15653.68,2025-09-02
C000418,2025-08-25,New,Social Media,0.0,0.0,
C000419,2023-11-19,Returning,Social Media,6.0,7175.49,2025-02-06
C000420,2024-02-25,New,Email Marketing,4.0,1702.52,2025-05-01
C000421,2023-01-02,New,Organic Search,27.0,17677.26,2025-08-11
C000422,2025-09-28,Returning,Direct,0.0,0.0,
C000423,2024-08-02,Returning,Direct,0.0,0.0,
C000424,2025-06-27,New,Direct,0.0,0.0,
C000425,2024-11-14,New,Social Media,1.0,263.84,2023-06-26
C000426,2023-01-02,New,Referral,25.0,17305.86,2025-08-27
C000427,2025-09-01,New,Direct,0.0,0.0,
C000428,2023-01-02,Returning,Social Media,23.0,17003.25,2025-08-26
C000429,2024-07-22,VIP,Direct,1.0,1303.1,2022-11-17
C000430,2023-05-12,Returning,Social Media,12.0,10307.92,2024-09-08
C000431,2025-08-19,New,Organic Search,0.0,0.0,
C000432,2024-11-24,New,Direct,2.0,569.02,2024-02-20
C000433,2024-10-12,Returning,Paid Search,0.0,0.0,
C000434,2024-04-01,VIP,Organic Search,2.0,9602.78,2024-02-21
C000435,2025-01-05,New,Referral,0.0,0.0,
C000436,2025-08-28,Returning,Paid Search,0.0,0.0,
C000437,2025-03-28,New,Paid Search,1.0,1994.67,2022-06-29
C000438,2024-07-29,Returning,Paid Search,2.0,1151.61,2024-08-15
C000439,2025-09-13,Returning,Social Media,1.0,1439.88,2022-03-08
C000440,2025-08-11,VIP,Organic Search,1.0,416.46,2023-11-13
